date,type_of_data,Variable,Value
2020-11-13,prices,High Price,29559.25
2020-11-16,prices,High Price,29964.289063
2020-11-17,prices,High Price,29872.419922
2020-11-18,prices,High Price,29930.849609
2020-11-19,prices,High Price,29524.900391
2020-11-20,prices,High Price,29469.890625
2020-11-23,prices,High Price,29667.75
2020-11-24,prices,High Price,30116.509766
2020-11-25,prices,High Price,30058.869141
2020-11-27,prices,High Price,30015.130859
2020-11-30,prices,High Price,29854.509766
2020-12-01,prices,High Price,30083.310547
2020-12-02,prices,High Price,29902.509766
2020-12-03,prices,High Price,30110.880859
2020-12-04,prices,High Price,30218.259766
2020-12-07,prices,High Price,30233.029297
2020-12-08,prices,High Price,30246.220703
2020-12-09,prices,High Price,30319.699219
2020-12-10,prices,High Price,30063.869141
2020-12-11,prices,High Price,30071.130859
2020-12-14,prices,High Price,30325.789063
2020-12-15,prices,High Price,30243.259766
2020-12-16,prices,High Price,30236.029297
2020-12-17,prices,High Price,30323.779297
2020-12-18,prices,High Price,30343.589844
2020-12-21,prices,High Price,30304.140625
2020-12-22,prices,High Price,30200.199219
2020-12-23,prices,High Price,30292.529297
2020-12-24,prices,High Price,30209.669922
2020-12-28,prices,High Price,30525.560547
2020-12-29,prices,High Price,30588.789063
2020-12-30,prices,High Price,30525.349609
2020-12-31,prices,High Price,30637.470703
2021-01-04,prices,High Price,30674.279297
