Name,ticker,date,Variable,Value,timehorizon
Goldman Sachs,GS,2021-03-17,Low Price,340.399994,1Y
Goldman Sachs,GS,2021-03-18,Low Price,346.98999,1Y
Goldman Sachs,GS,2021-03-19,Low Price,340.630005,1Y
Goldman Sachs,GS,2021-03-22,Low Price,336,1Y
Goldman Sachs,GS,2021-03-23,Low Price,331.329987,1Y
Goldman Sachs,GS,2021-03-24,Low Price,328.440002,1Y
Goldman Sachs,GS,2021-03-25,Low Price,321.920013,1Y
Goldman Sachs,GS,2021-03-26,Low Price,322.690002,1Y
Goldman Sachs,GS,2021-03-29,Low Price,317.720001,1Y
Goldman Sachs,GS,2021-03-30,Low Price,328.850006,1Y
Goldman Sachs,GS,2021-03-31,Low Price,325.440002,1Y
Goldman Sachs,GS,2021-04-01,Low Price,324.160004,1Y
Goldman Sachs,GS,2021-04-05,Low Price,323.049988,1Y
Goldman Sachs,GS,2021-04-06,Low Price,324,1Y
Goldman Sachs,GS,2021-04-07,Low Price,323.350006,1Y
Goldman Sachs,GS,2021-04-08,Low Price,322.970001,1Y
Goldman Sachs,GS,2021-04-09,Low Price,328.790009,1Y
Goldman Sachs,GS,2021-04-12,Low Price,329.940002,1Y
Goldman Sachs,GS,2021-04-13,Low Price,324.179993,1Y
Goldman Sachs,GS,2021-04-14,Low Price,326.149994,1Y
Goldman Sachs,GS,2021-04-15,Low Price,334.540009,1Y
Goldman Sachs,GS,2021-04-16,Low Price,338.619995,1Y
Goldman Sachs,GS,2021-04-19,Low Price,336.600006,1Y
Goldman Sachs,GS,2021-04-20,Low Price,329.350006,1Y
Goldman Sachs,GS,2021-04-21,Low Price,327.559998,1Y
Goldman Sachs,GS,2021-04-22,Low Price,330.290009,1Y
Goldman Sachs,GS,2021-04-23,Low Price,330.720001,1Y
Goldman Sachs,GS,2021-04-26,Low Price,340.890015,1Y
Goldman Sachs,GS,2021-04-27,Low Price,343.660004,1Y
Goldman Sachs,GS,2021-04-28,Low Price,346.089996,1Y
Goldman Sachs,GS,2021-04-29,Low Price,347.480011,1Y
Goldman Sachs,GS,2021-04-30,Low Price,347.200012,1Y
Goldman Sachs,GS,2021-05-03,Low Price,349.26001,1Y
Goldman Sachs,GS,2021-05-04,Low Price,342.570007,1Y
Goldman Sachs,GS,2021-05-05,Low Price,352,1Y
Goldman Sachs,GS,2021-05-06,Low Price,356.5,1Y
Goldman Sachs,GS,2021-05-07,Low Price,360.929993,1Y
Goldman Sachs,GS,2021-05-10,Low Price,368.5,1Y
Goldman Sachs,GS,2021-05-11,Low Price,358.619995,1Y
Goldman Sachs,GS,2021-05-12,Low Price,353.269989,1Y
Goldman Sachs,GS,2021-05-13,Low Price,353.25,1Y
Goldman Sachs,GS,2021-05-14,Low Price,361.700012,1Y
